"subNum","objNum","kitchen","expectancy","recollection","familiar","guess","noMemory"
41,"glass jug","kitchen",90.228013,"recollected","not familiar","not guessed",0
41,"mug","kitchen",100,"not recollected","not familiar","guessed",0
41,"dishes","kitchen",-100,"recollected","not familiar","not guessed",0
41,"towels","non-kitchen",60.586319,"recollected","not familiar","not guessed",0
41,"toy","non-kitchen",100,"recollected","not familiar","not guessed",0
41,"pile of books","non-kitchen",74.592834,"recollected","not familiar","not guessed",0
41,"umbrella","non-kitchen",-70.358306,"recollected","not familiar","not guessed",0
41,"hat","non-kitchen",28.990228,"recollected","not familiar","not guessed",0
41,"helmet","non-kitchen",30.130293,"not recollected","familiar","not guessed",0
41,"calendar","non-kitchen",50,"recollected","not familiar","not guessed",0
41,"fan","non-kitchen",-90.390879,"recollected","not familiar","not guessed",0
42,"microwave","kitchen",98.534202,"recollected","not familiar","not guessed",0
42,"kitchen roll","kitchen",-7.81759,"not recollected","not familiar","not guessed",1
42,"saucepan","kitchen",83.061889,"not recollected","not familiar","guessed",0
42,"toaster","kitchen",-92.833876,"not recollected","not familiar","guessed",0
42,"bowl of fruits","kitchen",-16.449511,"recollected","not familiar","not guessed",0
42,"tea pot","kitchen",-25.895765,"not recollected","not familiar","guessed",0
42,"knife","kitchen",-98.859935,"not recollected","not familiar","not guessed",1
42,"mixer","kitchen",12.214984,"recollected","not familiar","not guessed",0
42,"bread","kitchen",-49.022801,"recollected","not familiar","not guessed",0
42,"glass jug","kitchen",83.713355,"not recollected","not familiar","not guessed",1
42,"mug","kitchen",0,"not recollected","not familiar","not guessed",1
42,"dishes","kitchen",-71.986971,"not recollected","not familiar","not guessed",1
42,"towels","non-kitchen",95.765472,"recollected","not familiar","not guessed",0
42,"toy","non-kitchen",21.335505,"recollected","not familiar","not guessed",0
42,"pile of books","non-kitchen",75.2443,"recollected","not familiar","not guessed",0
42,"umbrella","non-kitchen",3.908795,"not recollected","not familiar","not guessed",1
42,"hat","non-kitchen",-32.247557,"not recollected","not familiar","guessed",0
42,"helmet","non-kitchen",7.32899,"not recollected","not familiar","guessed",0
42,"calendar","non-kitchen",52.442997,"not recollected","not familiar","not guessed",1
42,"fan","non-kitchen",-5.700326,"recollected","not familiar","not guessed",0
43,"microwave","kitchen",55.374593,"not recollected","familiar","not guessed",0
43,"kitchen roll","kitchen",30.618893,"not recollected","not familiar","not guessed",1
43,"saucepan","kitchen",77.198697,"not recollected","familiar","not guessed",0
43,"toaster","kitchen",-98.045603,"not recollected","not familiar","guessed",0
43,"bowl of fruits","kitchen",-83.061889,"recollected","not familiar","not guessed",0
43,"tea pot","kitchen",-88.273616,"not recollected","not familiar","not guessed",1
43,"knife","kitchen",-91.205212,"recollected","not familiar","not guessed",0
43,"mixer","kitchen",-56.026059,"not recollected","not familiar","guessed",0
43,"bread","kitchen",-76.547231,"recollected","not familiar","not guessed",0
43,"glass jug","kitchen",59.771987,"recollected","not familiar","not guessed",0
43,"mug","kitchen",48.534202,"recollected","not familiar","not guessed",0
43,"dishes","kitchen",-81.270358,"recollected","not familiar","not guessed",0
43,"towels","non-kitchen",36.970684,"recollected","not familiar","not guessed",0
43,"toy","non-kitchen",-36.807818,"not recollected","not familiar","not guessed",1
43,"pile of books","non-kitchen",-11.400651,"recollected","not familiar","not guessed",0
43,"umbrella","non-kitchen",-60.912052,"not recollected","not familiar","not guessed",1
43,"hat","non-kitchen",0.325733,"not recollected","familiar","not guessed",0
43,"helmet","non-kitchen",-13.843648,"not recollected","familiar","not guessed",0
43,"calendar","non-kitchen",-71.335505,"recollected","not familiar","not guessed",0
43,"fan","non-kitchen",-96.091205,"not recollected","familiar","not guessed",0
44,"microwave","kitchen",96.905537,"not recollected","familiar","not guessed",0
44,"kitchen roll","kitchen",88.273616,"not recollected","not familiar","not guessed",1
44,"saucepan","kitchen",71.498371,"not recollected","not familiar","guessed",0
44,"toaster","kitchen",-100,"not recollected","not familiar","guessed",0
44,"bowl of fruits","kitchen",-18.566775,"not recollected","not familiar","guessed",0
44,"tea pot","kitchen",-40.716612,"not recollected","not familiar","guessed",0
44,"knife","kitchen",-22.801303,"not recollected","not familiar","guessed",0
44,"mixer","kitchen",-7.32899,"not recollected","not familiar","not guessed",1
44,"bread","kitchen",-17.263844,"not recollected","not familiar","guessed",0
44,"glass jug","kitchen",82.247557,"not recollected","not familiar","guessed",0
44,"mug","kitchen",46.416938,"not recollected","not familiar","not guessed",1
44,"dishes","kitchen",-82.899023,"not recollected","not familiar","not guessed",1
44,"towels","non-kitchen",8.143322,"not recollected","not familiar","not guessed",1
